FED,name_FED,ISO3,rating,name,players
ARG,Argentina,ARG,2540,Quinteros  ,54
AUS,Australia,AUS,2430,Woodhams  ,5
AUT,Austria,AUT,2445,"Robatsch,K. ",13
BEL,Belgium,BEL,2445,"O'Kelly,A. ",9
BRA,Brazil,BRA,2620,"Mecking,H. ",17
IVB,British Virgin Islands,VGB,2210,"Hook,W. ",1
BUL,Bulgaria,BGR,2515,"Radulov,I. ",73
CAN,Canada,CAN,2490,"Kupreichik,V. ",21
CHI,Chile,CHL,2400,"Frias,V. ",18
CHN,China,CHN,2250,Nieves  ,2
COL,Colombia,COL,2425,"Cuartas,C. ",18
CUB,Cuba,CUB,2475,"Garcia Gonzales,G. ",38
DEN,Denmark,DNK,2625,"Larsen,B. ",33
DOM,Dominican Republic,DOM,2280,Juliao  ,3
ECU,Ecuador,ECU,2370,"Yepez,O. ",6
FAI,Faroe Islands,FRO,2205,Midjord  ,1
FIN,Finland,FIN,2485,"Westerinen,H.M.J. ",11
FRA,France,FRA,2410,"Seret,J.-L. ",12
GRE,Greece,GRC,2360,"Koifman,I. ",10
HKG,Hong Kong,HKG,2350,"Kan,W.S. ",1
HUN,Hungary,HUN,2625,"Portisch,L. ",82
ISL,Iceland,ISL,2550,"Olafsson,F. ",32
IND,India,IND,2310,"Parameswaren,T.N. ",4
INA,Indonesia,IDN,2370,Suwuh  ,9
IRI,Iran,IRN,2380,"Harandi,K. ",4
IRL,Ireland,IRL,2330,"Henry,P. ",9
ISR,Israel,ISR,2540,"Liberzon,V. ",27
ITA,Italy,ITA,2470,"Mariotti,S. ",26
JPN,Japan,JPN,2250,Miyasaka  ,3
LIB,Lebanon,LBN,2370,"Kouatly,B. ",4
LUX,Luxembourg,LUX,2300,"Schneider,R. ",5
MLT,Malta,MLT,2210,"Camilleri,H. ",1
MEX,Mexico,MEX,2345,"Campos,A. ",7
MNC,Monaco,MCO,1820,Cellario  ,1
MGL,Mongolia,MNG,2385,"Ujtumen,T. ",6
NED,Netherlands,NLD,2550,"Timman,J. ",46
NZL,New Zealand,NZL,2320,"Sarapu,O. ",4
NCA,Nicaragua,NIC,2300,"Davila,E. ",3
NOR,Norway,NOR,2490,"Ogaard,L. ",20
PAK,Pakistan,PAK,2325,"Farooqui,Z. ",5
PAN,Panama,PAN,2205,Fabrega  ,1
PAR,Paraguay,PRY,2265,"Franco,Z. ",1
PER,Peru,PER,2435,"Rodriguez,O. ",3
PHI,Philippines,PHL,2505,"Torre,E. ",19
POL,Poland,POL,2485,"Schmidt,W. ",51
POR,Portugal,PRT,2340,"Silva,F. ",5
PUR,Puerto Rico,PRI,2290,"Colon,A. ",4
SCO,United Kingdom,GBR,2410,Pritchett  ,10
ENG,United Kingdom,GBR,2510,"Miles,A. ",56
WLS,United Kingdom,GBR,2390,"Botterill,G.S. ",6
SIN,Singapore,SGP,2365,"Tomalczyk,T. ",7
RSA,South Africa,ZAF,2330,Kroon  ,3
ESP,Spain,ESP,2490,"Diez Del Corral,J. ",28
SWE,Sweden,SWE,2585,"Andersson,U. ",44
SUI,Switzerland,CHE,2670,"Kortchnoi,V. ",24
SYR,Syria,SYR,2230,Rifa  ,1
TUN,Tunisia,TUN,2355,Bouaziz  ,5
TUR,Turkey,TUR,2355,Onat  ,6
USA,United States,USA,2585,"Browne,W.S. ",67
URU,Uruguay,URY,2255,Maiztequi  ,3
VEN,Venezuela,VEN,2385,"Sanchez,C. ",6
