Rank	Name	Rating	Year
1	John Cochrane	2571	1843
2	Pierre Saint-Amant	2568	1843
3	Boncourt	2566	1843
4	Eugène Rousseau	2340	1843
5	Benjamin Oliver	2340	1843
6	John Schulten	2311	1843
1	Howard Staunton	2670	1844
2	Pierre Saint-Amant	2571	1844
3	John Cochrane	2509	1844
4	Taverner	2445	1844
5	John Schulten	2311	1844
1	Howard Staunton	2654	1845
2	Pierre Saint-Amant	2563	1845
3	John Cochrane	2495	1845
4	John Schulten	2325	1845
1	Howard Staunton	2642	1846
2	Pierre Saint-Amant	2567	1846
3	John Cochrane	2489	1846
1	Howard Staunton	2690	1847
2	Lionel Kieseritzky	2568	1847
3	Pierre Saint-Amant	2562	1847
4	Bernhard Horwitz	2533	1847
5	George Walker	2488	1847
6	Daniel Harrwitz	2469	1847
1	Howard Staunton	2662	1848
2	Lionel Kieseritzky	2599	1848
3	Bernhard Horwitz	2538	1848
4	George Walker	2484	1848
5	Daniel Harrwitz	2483	1848
6	Carl Mayet	2373	1848
1	Howard Staunton	2630	1849
2	Lionel Kieseritzky	2588	1849
3	Henry Buckle	2582	1849
4	Bernhard Horwitz	2533	1849
5	Daniel Harrwitz	2490	1849
6	Adolf Anderssen	2458	1849
7	Carl Mayet	2383	1849
1	Henry Buckle	2564	1850
2	Lionel Kieseritzky	2559	1850
3	Daniel Harrwitz	2527	1850
4	Bernhard Horwitz	2496	1850
5	Adolf Anderssen	2462	1850
1	Lionel Kieseritzky	2734	1851
2	John Schulten	2509	1851
3	Daniel Harrwitz	2507	1851
4	Bernhard Horwitz	2443	1851
1	Tassilo von der Lasa	2630	1852
2	Adolf Anderssen	2604	1852
3	Lionel Kieseritzky	2599	1852
4	Henry Buckle	2544	1852
5	Elijah Williams	2529	1852
6	ósef  Szén	2528	1852
7	Howard Staunton	2521	1852
8	Johann Löwenthal	2511	1852
9	Marmaduke Wyvill	2469	1852
10	Carl Mayet	2458	1852
11	Carl von Jaenisch	2425	1852
12	George Medley	2418	1852
13	John Schulten	2413	1852
14	Bernhard Horwitz	2411	1852
15	Frederic Deacon	2410	1852
16	F Dudley	2384	1852
17	Augustus Mongrédien	2366	1852
18	Hugh Kennedy	2361	1852
19	Henry Bird	2348	1852
20	J Spencer Turner	2343	1852
21	Edward Löwe	2267	1852
22	James Mucklow	2175	1852
1	Daniel Harrwitz	2622	1853
2	Tassilo von der Lasa	2617	1853
3	Adolf Anderssen	2607	1853
4	Lionel Kieseritzky	2603	1853
5	Henry Buckle	2532	1853
6	ósef  Szén	2531	1853
7	Johann Löwenthal	2525	1853
8	Howard Staunton	2505	1853
9	Elijah Williams	2480	1853
10	Frederic Deacon	2479	1853
11	Charles Stanley	2461	1853
12	Marmaduke Wyvill	2460	1853
13	Pierre Saint-Amant	2433	1853
14	Carl Mayet	2430	1853
15	John Schulten	2426	1853
16	Carl von Jaenisch	2426	1853
17	Bernhard Horwitz	2412	1853
18	F Dudley	2394	1853
19	George Medley	2394	1853
20	Hugh Kennedy	2379	1853
21	Augustus Mongrédien	2365	1853
22	Henry Bird	2361	1853
23	Moheschunder Bannerjee	2355	1853
24	Edward Löwe	2300	1853
25	James Mucklow	2195	1853
1	Daniel Harrwitz	2618	1854
2	Tassilo von der Lasa	2609	1854
3	Adolf Anderssen	2596	1854
4	Howard Staunton	2557	1854
5	Johann Löwenthal	2541	1854
6	Henry Buckle	2530	1854
7	ósef  Szén	2503	1854
8	Elijah Williams	2475	1854
9	Jean Dufresne	2470	1854
10	Frederic Deacon	2455	1854
11	Marmaduke Wyvill	2446	1854
12	Charles Stanley	2445	1854
13	Carl von Jaenisch	2435	1854
14	Carl Mayet	2424	1854
15	Pierre Saint-Amant	2421	1854
