Name	Rating	Year	Rank	Fed
An. Karpov	2725	1978	USR	1	
V. Kortchnoi	2665	1978	SUI	2	
H. Mecking	2630	1978	BRA	3	
L. Portisch	2630	1978	HUN	4	
B. Spassky	2630	1978	USR	5	
Tal	2625	1978	USR	6	
V. Hort	2620	1978	CSR	7	
B. Larsen	2620	1978	DEN	8	
T. Petrosian	2620	1978	USR	9	
L. Polugaevsky	2620	1978	USR	10	
O. Romanishin	2610	1978	USR	11	
Lj. Ljubojevic	2605	1978	YUG	12	
R. Huebner	2595	1978	FRG	13	
Y. Balashov	2590	1978	USR	14	
E.P. Geller	2590	1978	USR	15	
Z. Ribli	2585	1978	HUN	16	
J. Timman	2585	1978	NED	17	
O. Panno	2580	1978	ARG	18	
B. Gulko	2575	1978	USR	19	
V. Smyslov	2575	1978	USR	20	
G. Sosonko	2575	1978	NED	21	
W. Uhlmann	2575	1978	DDR	22	
D. Bronstein	2570	1978	USR	23	
V. Cseshkovsky	2570	1978	USR	24	
L. Kavalek	2570	1978	USA	25	
R. Vaganian	2570	1978	USR	26	
S. Gligoric	2565	1978	YUG	27	
A. Miles	2565	1978	ENG	28	
E. Sveshnikov	2565	1978	USR	29	
Savon	2560	1978	USR	30	
V. Tukmakov	2560	1978	USR	31	
A. Kochiyev	2555	1978	USR	32	
V. Liberzon	2555	1978	ISR	33	
J. Smejkal	2555	1978	CSR	34	
E. Vasiukov	2555	1978	USR	35	
W.S. Browne	2550	1978	USA	36	
R. Byrne	2550	1978	USA	37	
I. Dorfman	2550	1978	USR	38	
R. Dzindzichashvili	2550	1978	ISR	39	
N. Krogius	2550	1978	USR	40	
Gy. Sax	2550	1978	HUN	41	
U. Andersson	2545	1978	SWE	42	
A. Beliavsky	2545	1978	USR	43	
R. Kholmov	2540	1978	USR	44	
W. Lombardy	2540	1978	USA	45	
A.S. Lutikov	2540	1978	USR	46	
Parma B.	2540	1978	YUG	47	
G. Garcia Gonzales	2535	1978	CUB	48	
G.P. Kuzmin	2535	1978	USR	49	
B. Malich	2535	1978	DDR	50	
A.S. Suetin	2535	1978	USR	51	
L.M. Evans	2530	1978	USA	52	
G. Kuprejanov	2530	1978	USR	53	
B. Kurajica	2530	1978	YUG	54	
F. Olafsson	2530	1978	ISL	55	
H. Pfleger	2530	1978	FRG	56	
M. Taimanov	2530	1978	USR	57	
Gen. Timoshchenko	2530	1978	USR	58	
M. Valvo	2530	1978	USA	59	
M.I. Dvorietzky	2525	1978	USR	60	
S. Furman	2525	1978	USR	61	
A. Gipslis	2525	1978	USR	62	
Goichberg	2525	1978	USA	63	
E. Gufeld	2525	1978	USR	64	
M. Matulovic	2525	1978	YUG	65	
Najdorf	2525	1978	ARG	66	
W. Unzicker	2525	1978	FRG	67	
Y.L. Averbakh	2520	1978	USR	68	
E. Ermenkov	2520	1978	BUL	69	
F. Gheorghiu	2520	1978	ROM	70	
R. Knaak	2520	1978	DDR	71	
K. Rogoff	2520	1978	USA	72	
L. Schmid	2520	1978	FRG	73	
D. Velimirovic	2520	1978	YUG	74	
L. Vogt	2520	1978	DDR	75	
V.S. Zhidkov	2520	1978	USR	76	
A. Adorjan	2515	1978	HUN	77	
B. Ivkov	2515	1978	YUG	78	
L. Pachman	2515	1978	FRG	79	
L. Szabo	2515	1978	HUN	80	
L.O. Alburt	2510	1978	USR	81	
I. Csom	2510	1978	HUN	82	
K. Darga	2510	1978	FRG	83	
I. Farago	2510	1978	HUN	84	
B. Gurgenidze	2510	1978	USR	85	
M.F. Stean	2510	1978	ENG	86	
Tarjan	2510	1978	USA	87	
Mikh. Tseitlin	2510	1978	USR	88	
T. Georgadze	2505	1978	USR	89	
V. Jansa	2505	1978	CSR	90	
M. Knezevic	2505	1978	YUG	91	
Vlado Kovacevic	2505	1978	YUG	92	
A. Lein	2505	1978	USA	93	
A. Matanovic	2505	1978	YUG	94	
N. Rashkovsky	2505	1978	USR	95	
W. Schmidt	2505	1978	POL	96	
L. Vadasz	2505	1978	HUN	97	
E. Bukic	2500	1978	YUG	98	
K.A. Grigorian	2500	1978	USR	99	
Ney	2500	1978	USR	100	
Ree	2500	1978	NED	101	
G. Sigurjonsson	2500	1978	ISL	102	
V.K. Bagirov	2495	1978	USR	103	
S. Dolmatov	2495	1978	USR	104	
S. Makarichev	2495	1978	USR	105	
J. Nikolac	2495	1978	YUG	106	
A.N. Panchenko	2495	1978	USR	107	
U. Boensch	2490	1978	DDR	108	
L. Christiansen	2490	1978	USA	109	
O. Dementiev	2490	1978	USR	110	
M. Dimitrijevic	2490	1978	YUG	111	
J. Donner	2490	1978	NED	112	
Y. Klovan	2490	1978	USR	113	
S. Palatnik	2490	1978	USR	114	
I. Radulov	2490	1978	BUL	115	
D. Rajkovic	2490	1978	YUG	116	
S. Reshevsky	2490	1978	USA	117	
D. Sahovic	2490	1978	YUG	118	
Shuralev	2490	1978	USR	119	
E. Torre	2490	1978	PHI	120	
L.G. Zaitseva	2490	1978	USR	121	
P. Benko	2485	1978	USA	122	
K. Commons	2485	1978	USA	123	
M. Filip	2485	1978	CSR	124	
O. Rodriguez	2485	1978	PER	125	
R. Sanguinetti	2485	1978	ARG	126	
L. Shamkovich	2485	1978	USA	127	
L. Grigorian	2480	1978	USR	128	
H.-J. Hecht	2480	1978	FRG	129	
R. Keene	2480	1978	ENG	130	
