Name	Rating	Year	Fed	Rank
Gary Kasparov	2805	1993	RUS	1	
Robert J Fischer	2780	1993	USA	2	
Anatoly Karpov	2725	1993	RUS	3	
Viswanathan Anand	2710	1993	IND	4	
Vassily Ivanchuk	2710	1993	UKR	5	
Boris Gelfand	2690	1993	BLR	6	
Vladimir Kramnik	2685	1993	RUS	7	
Evgeny Bareev	2670	1993	RUS	8	
Alexei Shirov	2670	1993	ESP	9	
Kiril Georgiev	2660	1993	BUL	10	
Valery Salov	2660	1993	RUS	11	
Zurab Azmaiparashvili	2655	1993	GEO	12	
Gata Kamsky	2655	1993	USA	13	
Nigel.D Short	2655	1993	ENG	14	
Artur Jussupow	2645	1993	GER	15	
Joel Lautier	2645	1993	FRA	16	
Ivan Sokolov	2640	1993	BIH	17	
Lev Polugaevsky	2635	1993	RUS	18	
Jan..H Timman	2635	1993	NED	19	
Veselin Topalov	2635	1993	BUL	20	
Michael Adams	2630	1993	ENG	21	
Simen Agdestein	2630	1993	NOR	22	
Alexander Khalifman	2630	1993	RUS	23	
Predrag Nikolic	2630	1993	BIH	24	
Ulf Andersson	2625	1993	SWE	25	
Rustem Dautov	2625	1993	GER	26	
Jaan Ehlvest	2625	1993	EST	27	
Boris..F Gulko	2625	1993	USA	28	
Johann Hjartarson	2625	1993	ISL	29	
Larry..M Christiansen	2620	1993	USA	30	
Vladimir Epishin	2620	1993	RUS	31	
Robert.Dr Huebner	2620	1993	GER	32	
Gregory..S Kaidanov	2620	1993	USA	33	
Eric Lobron	2620	1993	GER	34	
Zoltan Ribli	2620	1993	HUN	35	
Alexey Vyzmanavin	2620	1993	RUS	36	
Vladimir Akopian	2615	1993	ARM	37	
Sergey Dolmatov	2615	1993	RUS	38	
Miguel Illescas.Cordoba	2615	1993	ESP	39	
Oleg..M Romanishin	2615	1993	UKR	40	
Rafael..A Vaganian	2615	1993	ARM	41	
Alex Yermolinsky	2615	1993	USA	42	
Alexander..G Beliavsky	2610	1993	SLO	43	
Mikhail Gurevich	2610	1993	BEL	44	
Curt Hansen	2610	1993	DEN	45	
Smbat..G Lputian	2610	1993	ARM	46	
Leonid Yudasin	2610	1993	ISR	47	
Alexander Chernin	2605	1993	HUN	48	
Viktor Korchnoi	2605	1993	SUI	49	
Ljubomir Ljubojevic	2605	1993	YUG	50	
Henrique Mecking	2605	1993	BRA	51	
Vladimir..B Tukmakov	2605	1993	UKR	52	
Boris Alterman	2600	1993	ISR	53	
Vladimir..P Malaniuk	2600	1993	UKR	54	
Grigory Serper	2600	1993	USA	55	
Michael..A Rohde	2595	1993	USA	56	
Eduardas Rozentalis	2595	1993	LTU	57	
Vadim Ruban	2595	1993	RUS	58	
Judit.(GM) Polgar	2595	1993	HUN	59	
Yasser Seirawan	2595	1993	USA	60	
Jonathan.S Speelman	2595	1993	ENG	61	
Julio..E Granda.Zuniga	2590	1993	PER	62	
Jeroen Piket	2590	1993	NED	63	
Ilia Smirin	2590	1993	ISR	64	
Joel Benjamin	2585	1993	USA	65	
Josif..D Dorfman	2585	1993	FRA	66	
Lembit Oll	2585	1993	EST	67	
Evgeny Vladimirov	2585	1993	KAZ	68	
Andrei Kharlov	2580	1993	RUS	69	
Dejan Mozetic	2580	1993	YUG	70	
John.D.M Nunn	2580	1993	ENG	71	
Jozsef Pinter	2580	1993	HUN	72	
Lajos Portisch	2580	1993	HUN	73	
Aleksander Wojtkiewicz	2580	1993	POL	74	
Patrick..G Wolff	2580	1993	USA	75	
Alonso Zapata	2580	1993	COL	76	
Ognjen Cvitan	2575	1993	CRO	77	
Vereslav..S Eingorn	2575	1993	UKR	78	
Viktor Gavrikov	2575	1993	LTU	79	
Gerald Hertneck	2575	1993	GER	80	
Igor Khenkin	2575	1993	RUS	81	
Sergey Kudrin	2575	1993	USA	82	
