1st January 1988 FIDE Rating List

Name                                 Fed  Rtng 

Aaron,M.                             IND  2375
Abarca Aguirre,M.                    CHI  2345
Abayasekera,R.                       ENG  2280
Abbas,B.H.                           IRQ  2205
Abbasi,R.                            SYR  2010
Abdel,M.N.                           EGY  2355
Abdulla,H.                           UAE  2205
Abdulla,M.                           UAE  2210
Abel,L.                              HUN  2290
Abhyankar,A.G.                       IND  2130
Abichaaya                            LIB  2205
Abramovic,B.                         YUG  2460
Abramson,H.                          ARG  2250
Abravanel,Ch.                        FRA  2290
Abreu,J.D.                           DOM  2385
Abuchamala                           PLE  2205
Ac,M.                                CSR  2275
Acebal,A.                            ESP  2310
Acevedo,A.                           MEX  2325
Acevedo,H.                           MEX  2070
Acimovic,S.                          YUG  2370
Acosta,A.                            COL  2325
Acosta,T.                            ARG  2245
Adai,R.                              KEN  2205
Adams,M.                             ENG  2430
Adamski,A.                           POL  2275
Adamski,J.                           POL  2395
Adelman,Ch.D.                        USA  2295
Ademi,S.                             YUG  2215
Adianto,U.                           INA  2525
Adla,D.                              ARG  2285
Adler,J.                             SUI  2290
Adoamnei,R.                          ROM  2010
Adok,J.                              HUN  2230
Adorjan,A.                           HUN  2540
Adrian,C.                            FRA  2230
Adrianov,N.                          USR  2435
Ady,J.J.                             ENG  2300
Adzic,S.                             YUG  2305
Afek,Y.                              ISR  2330
Afifi,A.-A.                          EGY  2375
Again,V.                             BUL  2285
Agapov,K.                            USR  2395
Agdestein,E.                         NOR  2345
Agdestein,S.                         NOR  2560
Ageichenko,G.A.                      USR  2385
Agh,M.                               HUN  2205
Agic,A.                              YUG  2025
Agnos,D.                             ENG  2340
Agrawal,K.                           IND  2110
Agudelo,A.                           COL  2305
Aguila,G.                            ARG  2300
Agusto,O.                            NGR  2210
Agustsson,J.                         ISL  2285
Ahlander,B.                          SWE  2395
Ahmed,F.                             BAN  2235
Ahmed,H.                             PAK  2270
Ahmels,V.                            FRG  2265
Aigasra,A.                           BRN  2205
Airapetian,S.H.                      USR  2120
Ajanski,J.                           BUL  2370
Akesson                              SWE  2445
Akhmilovskaya,E.B.                   USR  2400
Akhsharumova,A.M.                    USA  2385
Akopian,V.                           USR  2460
Al Akraa,I.                          SYR  2005
Al-Khateeb,A.                        COL  2255
Al-Khateeb,A.                        SYR  2255
Alaan,V.                             PHI  2330
Aladjova,K.                          BUL  2070
Alayola,J.E.                         MEX  2245
Albano,M.                            ITA  2230
Alber,H.                             FRG  2275
Alberston,B.                         USA  2280
Albulet,M.                           ROM  2100
Alburt,L.O.                          USA  2535
Aldrete,J.                           MEX  2390
Alekhina,N.V.                        USR  2215
Aleksic,N.                           YUG  2465
Alexakis,D.                          GRE  2225
Alexandria,N.                        USR  2415
Alexandrou,Th.                       GRE  2205
Ali,I.                               BRU  2205
Ali,Idris                            BAN  2235
Ali,M.F.                             BAN  2205
Ali,M.Z.                             BRU  2205
Alieva,E.                            USR  2120
Allan,D.                             CAN  2285
Allen,B.L.                           USA  2280
Allen,E.J.                           USA  2280
Almada,E.                            URU  2205
Almeida Saez,A.                      MEX  2270
Almeida,R.D.                         POR  2355
Almoyni,M.                           UAE  2205
Alonso,R.                            CUB  2325
Alpern,A.                            ARG  2260
Alpern,D.                            ARG  2210
Alsharfi,S.S.                        YEM  2205
Alsharkan,F.                         UAE  2205
Alster,L.                            CSR  2275
Altamirano,B.                        ARG  2225
Alterman,V.L.                        ISR  2335
Alvarez Ibarra,D.R.                  ESP  2365
Alvarez,Fi.                          CUB  2265
Alvarez,Fr.                          DOM  2240
Alvas,P.                             GRE  2245
Alvir,A.                             YUG  2320
Alzate,D.                            COL  2380
Ambroz,J.                            CSR  2445
Amendola                             GRE  2240
Amer,M.                              LBA  2205
Ammann,Ph.                           SUI  2280
Amos                                 CAN  2355
Amura,C.N.                           ARG  2195
An,Yang-Feng                         CHN  2265
Anand,V.                             IND  2520
Anastasian,A.                        USR  2445
Anastasov,A.                         BUL  2230
Anastasovski,N.                      YUG  2205
Anbuhl,E.                            FRG  2230
Anceschi,V.                          ITA  2310
Andersen,D.                          DEN  2285
Andersen,I.                          DEN  2215
Andersen,O.                          NOR  2225
Anderson,H.                          JAM  2005
Anderson,J.                          ENG  2210
Anderson,R.                          USA  2270
Andersson,B.                         SWE  2320
Andersson,M.                         SWE  2315
Andersson,T.                         SWE  2215
Andersson,U.                         SWE  2605
Anderton,D.W.                        ENG  2265
Andonov,B.                           BUL  2420
Andonov,T.                           YUG  2215
Andonovski,Lj.                       YUG  2305
Andrade,M.                           ANG  2205
Andre,W.                             FRG  2230
Andreasen,P.                         DEN  2230
Andreasson,I.                        SWE  2335
Andreoli,R.                          ITA  2250
Andres,M.                            CUB  2410
Andric,Z.                            YUG  2260
Andrijevic,M.                        YUG  2370
Andruet,G.                           FRA  2430
Andrzejewski                         POL  2255
Anelli,A.                            ARG  2315
Angantysson,H.                       ISL  2300
Angelov,A.                           BUL  2245
Angelov,K.                           BUL  2340
Angelov,R.                           BUL  2260
Angelova-Chilinginov                 BUL  2195
Anic,D.                              YUG  2390
Anikaev,Y.                           USR  2445
Anilkumar,N.R.                       IND  2265
Anitoaie,D.                          ROM  2205
Anka,E.                              HUN  2300
Ankerst,M                            YUG  2260
Annageldiev,O.                       USR  2365
Anquandah                            GHA  2205
Antkowiak,G.                         POL  2265
Antonio,Jr.                          PHI  2325
Antonov,V.                           BUL  2385
Antoshik,A.                          CSR  2230
Antoshin,V.S.                        USR  2305
Antunes,A.                           POR  2390
Aparicio,A.                          ARG  2295
Apatoczky,P.                         HUN  2325
Apicella,M.                          FRA  2355
Apostolou,A.                         GRE  2220
Apostolov,A.                         BUL  2250
Araiza                               MEX  2210
Arakhamia,K.                         USR  2420
Arapovic,V.                          YUG  2395
Araujo,R.                            BRA  2225
Araya,C.                             CRC  2205
Araya,R.                             CHI  2340
Arbakov,V.M.                         USR  2400
Arbouche,M.                          MAR  2225
Arbunic Castro,G.B.                  CHI  2185
Ardaman,M.                           USA  2430
