ID_number	Name	Titl	Fed	Rtng	Game	sBorn	Flag
8605360	"A La, Teng Hua"		CHN	1915	10	1993	
5031605	"A. Akshaya,"		IND	1847	7	1994	
5045886	"A.K. Kalshyan,"		IND	1979	0		
24663832	"Aab, Manfred"		GER	1846	0	1963	
1701991	"Aaberg, Anton"		SWE	2388	0	1972	
1407589	"Aabling-Thomsen, J"	akob	DEN	2275	0	1985	
1427024	"Aagaard, Gert"		DEN	2028	10	1966	
1401815	"Aagaard, Jacob"	g	SCO	2533	9	1973	
1411802	"Aagaard, Kasper"		DEN	1913	0	1992	
1017942	"Aagaard, Michael"		NED	2003	1	1960	
1406248	"Aage, Bjarke"		DEN	2068	0	1978	i
1506064	"Aagedal, Geir Ole"		NOR	1839	0	1957	
504599	"Aakio, Seppo"		FIN	2132	0	1954	i
2252465	"Aalbersberg Kroon,"	Pedro	ESP	2048	0	1933	
2218682	"Aalders, Hendricus"		ESP	2021	0	1930	i
501956	"Aaltio, Erkki"		FIN	2111	1	1935	
1504452	"Aandal, Kristian"		NOR	2040	0	1985	
1507362	"Aanstad, Magnus"		NOR	2060	2	1956	
1500503	"Aarland, Stein Ari"	ld	NOR	2311	0	1973	
2009412	"Aaron, Deepak"		USA	2030	6	1994	
5000092	"Aaron, Manuel"	m	IND	2315	0	1935	i
411744	"Aarons, Poppy J"		ENG	1862	0	1989	wi
5033110	"Aarthi, Lakhsmi E."	K.A.	IND	1953	0	1989	i
1024396	"Aarts, Rob"		NED	2036	4	1982	
1408941	"Aaskov, Jorgen"		DEN	2199	0	1939	
1501607	"Aasum, Anker"		NOR	1896	8	1940	
5045924	"Aathayam, V,"		IND	1936	0	1974	
5045932	"Aatirah C P,"		IND	1866	0	1992	
5045568	"Aatirah.C.P,"		IND	1927	10	1992	w
8100802	"Ababneh, Faisal"		JOR	1953	0		
8101043	"Ababneh, Ghayth"		JOR	2047	6		
681008	"Ababou, Nessim"		FRA	2063	0	1989	
2215020	"Abad Sanmartin, Jo"	rge	ESP	2063	26	1970	
2267837	"Abad Vinas, Jesus"	Manuel	ESP	1913	0	1977	
2284839	"Abadia Pascual, Lu"	is	ESP	1978	6	1977	
3601277	"Abadie Romero, Jon"	athan	ECU	2012	0	1984	
4162811	"Abaev, Viktor"		RUS	2066	8	1980	
14106680	"Abakarov, Alexande"	r	UKR	2187	0	1972	
22217959	"Abal Cores, Christ"	ian	ESP	1539	0	1992	
2260689	"Abalde Fernandez,"	Esteban	ESP	2078	0	1977	
2807882	"Abalovich, Leonid"		ISR	1808	0		i
101036	"Aban, Elbio"		ARG	2250	0	1973	i
8100241	"Abandah, Jamal"		JOR	2052	5	1963	
5700990	"Abang, Mohd Reduan"		MAS	2136	0		
616052	"Abarca del Rio, Fr"	ancisco	FRA	2140	0	1968	i
3801420	"Abarca, Diego"		PER	2141	0	1985	i
2276640	"Abascal Vicente, I"	gnacio	ESP	1912	0	1956	
4128184	"Abasheev, Denis"	m	RUS	2442	0	1977	
4150392	"Abashev, Alex"		RUS	2229	0		
13402960	"Abasov, Nijat Azad"		AZE	2380	56	1995	
13401688	"Abasov, Yasar"		AZE	2062	11		
101605	"Abate, Tomas"		ARG	1608	11	1996	
802778	"Abatino, Maurizio"	f	ITA	2168	5	1960	
4164229	"Abaturov, Alexande"	r	RUS	2340	0	1982	i
4205707	"Abatzidis, Stelios"		CYP	2036	0		
6300731	"Abay, Gokhan"		TUR	2075	0	1966	i
401358	"Abayasekera, Roger"	F T	ENG	2208	2	1952	
14511673	"Abaza, Ivan"		CRO	2081	9	1958	
1313177	"Abazi, Sahit"		SUI	1898	0		
827649	"Abbadessa, Giovann"	i	ITA	1769	0	1956	
11200545	"Abbas, Ali"		BRN	2009	0		
4800109	"Abbas, B H"		IRQ	2187	0		
12505170	"Abbasi, Meisam"		IRI	2010	4		
2008645	"Abbasi, Nasser M."	f	USA	2305	0	1957	i
12503398	"Abbasi, Rasool"		IRI	2207	10		
12501000	"Abbasifar, Hasan"	f	IRI	2369	0	1982	
13400762	"Abbasov, Aris"		AZE	2060	0	1947	i
13400665	"Abbasov, Farid"	g	AZE	2519	18	1979	
24141992	"Abbasov, Orudj"		RUS	1720	0	1996	
13400754	"Abbasova, Aiguioun"		AZE	2170	0	1977	wi
13401793	"Abbaszade, Arzu"		AZE	1971	0	1991	w
1311581	"Abbet, Jean-Luc"		SUI	2064	5	1957	
641120	"Abbey, Anate"		FRA	1681	7	1956	
1003658	"Abbink, Michel"		NED	2259	0	1972	i
7900139	"Abbou, Meriem"	wf	ALG	2005	0		wi
833827	"Abbura`, Davide"		ITA	1697	0	1960	
1012975	"Abcouwer, Jan-Bart"		NED	2226	3	1966	
10600752	"Abd El Fatah, Reda"	Fadel	EGY	2176	0	1957	
5703824	"Abd Rahman, Syazri"	n	MAS	1519	0		
404632	"Abd-Mariam, John N"	T	ENG	2160	0	1974	i
1408330	"Abdagic, Edib"		DEN	1987	0	1937	i
3300960	"Abdala, Jorge"		BOL	2041	0		
2111071	"Abdalla Jr, Chead"		BRA	1896	0	1958	i
2111608	"Abdalla, Jose Luca"	s	BRA	1941	0		
2111080	"Abdalla, Luiz Guil"	herme Aurelli	BRA	2018	4	1991	
10604308	"Abdallah, Ahmed"		EGY	2020	0		i
8100985	"Abdallah, Feras"		JOR	2052	0		
10604294	"Abdallah, Mohamed"		EGY	2115	0		i
10603875	"Abdein, Ahmed"		EGY	2129	0		i
10603492	"Abdein, Saiied"		EGY	2097	0		i
10600485	"Abdel Aziem, Ramad"	an	EGY	2296	0	1959	
10603417	"Abdel Aziz, Ahmed"		EGY	2136	0	1975	
10604596	"Abdel Aziz, Ahmedd"		EGY	2130	0	2000	
10601317	"Abdel Aziz, Ehab"		EGY	2175	2		
10602518	"Abdel Aziz, Mahmou"	d	EGY	2063	0		i
10600833	"Abdel Aziz, Shebab"		EGY	2118	0	1956	i
10604227	"Abdel Elah, Ahmed"		EGY	2179	0		
10600965	"Abdel Fadil, Moham"	ed	EGY	2259	6	1964	
10601643	"Abdel Fatah, Emad"		EGY	2078	0	1969	i
10601210	"Abdel Fatah, Moham"	ed	EGY	2167	0		
10603735	"Abdel Fatah, Reda"		EGY	2149	0		
10605568	"Abdel Fattah, Mans"	our	EGY	2043	0		
10603743	"Abdel Gawad, Salah"		EGY	1997	0		i
10606769	"Abdel Ghany, Adel"		EGY	2174	0		
10604588	"Abdel Hafeiz, Ayma"	n	EGY	2014	3		
10603107	"Abdel Hai, Hany"		EGY	2168	0		
10602682	"Abdel Hamid, Gamal"		EGY	2034	0	1958	i
10601287	"Abdel Maabod, Gama"	l	EGY	2122	0		
10600477	"Abdel Megid, Mosta"	fa	EGY	2340	0	1966	i
10605576	"Abdel Moneim, Mahm"	oud	EGY	2062	0		
10604332	"Abdel Moneim, Same"	ir	EGY	2067	0		
10601864	"Abdel Monem, Salah"		EGY	2172	2		
10605924	"Abdel Moniem, Moha"	med	EGY	2161	3		
9400753	"Abdel Rabb, Raouf"		YEM	1994	0		
9300643	"Abdel Rahim, Moham"	ed              f	UAE	2053	0		i
10601783	"Abdel Rahman, Alla"		EGY	2175	2		
10602011	"Abdel Razik, Ahmed"		EGY	2127	8		
10601104	"Abdel Razik, Khale"	d               f	EGY	2396	9	1975	
10600957	"Abdel Samee, Moham"	ed	EGY	2298	5	1970	
10606033	"Abdel Sattar, Magd"	y	EGY	2050	0	1955	
10603760	"Abdel Shafy, Mahmo"	ud	EGY	2092	0		i
11500719	"Abdel Wahab, Ahmad"		PLE	1926	0		
12200239	"Abdel Wahab, Elkha"	tem	SUD	2161	7		
10602798	"Abdel Wahab, Ismai"	l	EGY	2151	0	1956	i
10602879	"Abdel Wahed, Moham"	ed	EGY	2021	0		i
10606025	"Abdel Wahed, Tarek"		EGY	2100	2		
10601651	"Abdel Zaher, Elsai"	id	EGY	2040	0		
840246	"Abdelatief, Abdelh"	akiem	ITA	1947	12	1968	
7900201	"Abdeldjebar, Tayeb"		ALG	2110	0		i
10600035	"Abdelnabbi, Imed"	m	EGY	2456	0		
10600515	"Abdelrahman, A.K."		EGY	2173	0	1977	
646148	"Abdi, Houcine"		FRA	1781	0	1959	
12500887	"Abdi, Tahireh"		IRI	2090	0	1972	wi
