Name,Rating,Year,Fed,Rank,name_FED,ISO3
Robert J Fischer,2780,1994,USA,1,United States,USA
Gata Kamsky,2695,1994,USA,7,United States,USA
Gregory..S Kaidanov,2645,1994,USA,18,United States,USA
Joel Benjamin,2620,1994,USA,30,United States,USA
Alex Yermolinsky,2620,1994,USA,32,United States,USA
Boris..F Gulko,2615,1994,USA,34,United States,USA
Patrick..G Wolff,2595,1994,USA,64,United States,USA
Alexander Shabalov,2590,1994,USA,72,United States,USA
Ilya Gurevich,2585,1994,USA,75,United States,USA
Yasser Seirawan,2585,1994,USA,79,United States,USA
Nick..E DeFirmian,2580,1994,USA,80,United States,USA
Michael..A Rohde,2565,1994,USA,109,United States,USA
Lev..O Alburt,2560,1994,USA,111,United States,USA
Larry..M Christiansen,2560,1994,USA,112,United States,USA
Grigory Serper,2560,1994,USA,119,United States,USA
Maxim Dlugy,2555,1994,USA,122,United States,USA
Alexander Ivanov,2555,1994,USA,124,United States,USA
Lubomir Kavalek,2550,1994,USA,135,United States,USA
Sergey Kudrin,2550,1994,USA,136,United States,USA
Dmitry Gurevich,2545,1994,USA,150,United States,USA
Gennadij Sagalchik,2545,1994,USA,155,United States,USA
Roman Dzindzichashvili,2540,1994,USA,159,United States,USA
Michael Wilder,2540,1994,USA,168,United States,USA
Alexander Fishbein,2525,1994,USA,215,United States,USA
James E Tarjan,2525,1994,USA,236,United States,USA
John..P Fedorowicz,2520,1994,USA,242,United States,USA
Georgi Orlov,2515,1994,USA,281,United States,USA
Walter.S Browne,2510,1994,USA,289,United States,USA
Kenneth S Rogoff,2505,1994,USA,322,United States,USA
Gabriel Schwartzman,2500,1994,USA,343,United States,USA
Leonid Bass,2495,1994,USA,348,United States,USA
Anatoly Dozorets,2495,1994,USA,353,United States,USA
Wiliam G Addison,2490,1994,USA,371,United States,USA
Semon Palatnik,2485,1994,USA,410,United States,USA
Stuart Rachels,2485,1994,USA,414,United States,USA
Mikhail Braude,2480,1994,USA,423,United States,USA
Ron..W Henley,2480,1994,USA,438,United States,USA
Igor..V Ivanov,2480,1994,USA,439,United States,USA
Julio P Kaplan,2480,1994,USA,442,United States,USA
Anatoly Lein,2480,1994,USA,445,United States,USA
Benjamin Finegold,2475,1994,USA,469,United States,USA
Larry M. Evans,2470,1994,USA,498,United States,USA
Vincent McCambridge,2470,1994,USA,507,United States,USA
Eugene..B Meyer,2470,1994,USA,508,United States,USA
John..A Peters,2470,1994,USA,513,United States,USA
Douglas Root,2470,1994,USA,518,United States,USA
Alex Sherzer,2465,1994,USA,555,United States,USA
Maurice Ashley,2460,1994,USA,565,United States,USA
Robert-E Byrne,2460,1994,USA,568,United States,USA
Eric Tangborn,2455,1994,USA,622,United States,USA
Bernard Zuckerman,2455,1994,USA,627,United States,USA
Peter Biyiasas,2450,1994,USA,633,United States,USA
Igor..N Khmelnitsky,2450,1994,USA,647,United States,USA
William J Lombardy,2450,1994,USA,650,United States,USA
Leonid.M Sokolin,2450,1994,USA,665,United States,USA
Norman Weinstein,2450,1994,USA,673,United States,USA
Kim S Commons,2445,1994,USA,685,United States,USA
Boris M Kogan,2445,1994,USA,698,United States,USA
Timothy Taylor,2445,1994,USA,730,United States,USA
Milan R Vukcevich,2445,1994,USA,735,United States,USA
Vitaly F Zaltsman,2445,1994,USA,736,United States,USA
